Airline,Date_of_Journey,Source,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air Asia,18/05/2019,Kolkata,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,5989
IndiGo,18/03/2019,Mumbai,BOM → HYD,09:10,10:40,1h 30m,non-stop,No info,4049
Jet Airways,12/06/2019,Banglore,BLR → DEL,17:45,20:45,3h,non-stop,No info,8016
Air India,1/05/2019,Chennai,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667
,24/06/2019,Mumbai,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,2754
Jet Airways,6/06/2019,Banglore,BLR → DEL,19:50,22:50,3h,non-stop,No info,8016
 Jet Airways ,15/03/2019,Banglore,BLR → BOM → DEL,07:00,12:25,5h 25m,1 stop,In-flight meal not included,9134
Jet Airways,27/03/2019,Delhi,DEL → MAA → BOM → COK,17:35,04:25 28 Mar,10h 50m,2 stops,In-flight meal not included,9412
IndiGo,1/05/2019,Delhi,DEL → LKO → COK,21:50,03:35 02 May,5h 45m,1 stop,No info,6349
,6/05/2019,Kolkata,CCU → HYD → BLR,15:15,20:05,4h 50m,1 stop,No info,4775
Vistara,24/05/2019,Kolkata,CCU → DEL → BLR,17:00,18:50 25 May,25h 50m,1 stop,No info,9870
,1/05/2019,Mumbai,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4392
Jet Airways,1/04/2019,Kolkata,CCU → BOM → BLR,18:55,04:40 02 Apr,9h 45m,1 stop,No info,12681
IndiGo,9/06/2019,Banglore,BLR → DEL,22:10,01:00 10 Jun,2h 50m,non-stop,No info,3749
IndiGo,21/05/2019,Delhi,DEL → BOM → COK,04:55,11:50,6h 55m,1 stop,No info,6794
Jet Airways,15/06/2019,Delhi,DEL → JAI → BOM → COK,19:30,12:35 16 Jun,17h 5m,2 stops,In-flight meal not included,10368
IndiGo,31-31-2025,Chennai,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,3858
,21/05/2019,Kolkata,CCU → JAI → DEL → BLR,08:20,20:25,12h 5m,2 stops,No info,12324
Jet Airways,6/06/2019,Kolkata,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,In-flight meal not included,10844
Jet Airways,6/03/2019,Delhi,DEL → BOM → COK,18:15,19:45 07 Mar,25h 30m,1 stop,No info,17024
SpiceJet,31-31-2025,Kolkata,CCU → BLR,06:55,09:30,2h 35m,non-stop,No info,3873
IndiGo,3/03/2019,Delhi,DEL → HYD → MAA → COK,08:35,21:20,12h 45m,2 stops,No info,8049
SpiceJet,6/05/2019,Kolkata,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,4174
IndiGo,27/06/2019,Banglore,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,3943
Air India,12/06/2019,Mumbai,BOM → HYD,19:30,20:45,1h 15m,non-stop,No info,3100
IndiGo,9/05/2019,Delhi,DEL → BLR → COK,05:10,10:05,4h 55m,1 stop,No info,6496
,1/05/2019,Kolkata,CCU → HYD → BLR,19:00,04:40 02 May,9h 40m,1 stop,No info,6117
,18/05/2019,Delhi,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373
Jet Airways,1/04/2019,Kolkata,CCU → BOM → BLR,21:10,10:05 02 Apr,12h 55m,1 stop,No info,13784
Air India,27/03/2019,Delhi,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,7199
,27/06/2019,Delhi,DEL → HYD → BOM → COK,13:15,07:40 28 Jun,18h 25m,2 stops,No info,13547
Multiple carriers,24/06/2019,Delhi,DEL → BOM → COK,04:55,19:00,14h 5m,1 stop,No info,10678
IndiGo,15/05/2019,Delhi,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,8618
Air India,1/05/2019,Kolkata,CCU → DEL → AMD → BLR,10:00,05:25 02 May,19h 25m,2 stops,No info,13899
Air India,6/06/2019,Unknown_4,CCU → BOM → BLR,09:25,18:30,9h 5m,1 stop,No info,8366
Jet Airways,27/06/2019,Delhi,DEL → AMD → BOM → COK,13:25,19:00 28 Jun,29h 35m,2 stops,No info,12819
,21/05/2019,Banglore,BLR → DEL,21:10,00:05 22 May,2h 55m,non-stop,No check-in baggage included,3573
IndiGo,21/03/2019,Delhi,DEL → BOM → COK,17:10,01:35 22 Mar,8h 25m,1 stop,No info,7318
IndiGo,31-31-2025,Kolkata,CCU → MAA → BLR,06:15,10:30,4h 15m,1 stop,No info,4226
Multiple carriers,21/05/2019,Delhi,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,9794
,18/03/2019,Banglore,BLR → HYD → DEL,16:55,21:50,4h 55m,1 stop,No info,4049
Air India,18/05/2019,Delhi,DEL → CCU → BOM → COK,06:50,07:40 19 May,24h 50m,2 stops,No info,13591
Air India,9/06/2019,Kolkata,CCU → BOM → BLR,09:25,07:55 10 Jun,22h 30m,1 stop,No info,8366
 Jet Airways ,6/06/2019,Kolkata,CCU → DEL → BLR,17:00,09:45 07 Jun,16h 45m,1 stop,In-flight meal not included,10539
,6/06/2019,Delhi,DEL → BOM → COK,17:00,01:30 07 Jun,8h 30m,1 stop,No info,7198
 Air India ,24/03/2019,Banglore,BLR → DEL,21:10,23:55,2h 45m,non-stop,No info,4441
IndiGo,24/04/2019,Kolkata,CCU → HYD → BLR,19:20,23:45,4h 25m,1 stop,No info,3480
Jet Airways,24/04/2019,Banglore,BLR → DEL,07:10,10:10,3h,non-stop,No info,7229
Jet Airways,27/06/2019,Delhi,DEL → NAG → BOM → COK,06:45,12:35 28 Jun,29h 50m,2 stops,In-flight meal not included,10919
Jet Airways,3/05/2019,Banglore,BLR → DEL,08:20,11:20,3h,non-stop,No info,7229
IndiGo,21/04/2019,Banglore,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,4591
Air India,27/06/2019,Banglore,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,6961
Jet Airways,1/04/2019,Kolkata,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,No info,12681
IndiGo,27/05/2019,Delhi,DEL → HYD → COK,16:10,22:30,6h 20m,1 stop,No info,6938
IndiGo,6/05/2019,Kolkata,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4804
IndiGo,31-31-2025,Delhi,DEL → HYD → COK,11:55,22:30,10h 35m,1 stop,No info,8216
,3/05/2019,Unknown_4,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4804
GoAir,3/06/2019,Delhi,DEL → BOM → COK,10:35,19:35,9h,1 stop,No info,4959
,9/05/2019,Kolkata,CCU → DEL → BLR,17:00,09:05 10 May,16h 5m,1 stop,No info,9187
,21/03/2019,Delhi,DEL → BLR → COK,13:30,23:00,9h 30m,1 stop,No info,5704
Air India,15/03/2019,Banglore,BLR → CCU → BBI → DEL,05:50,12:05 16 Mar,30h 15m,2 stops,No info,7664
SpiceJet,18/05/2019,Kolkata,CCU → BLR,14:55,17:25,2h 30m,non-stop,No check-in baggage included,3841
Air India,31-31-2025,Delhi,DEL → NAG → BOM → COK,05:55,07:40 22 May,25h 45m,2 stops,No info,11543
Jet Airways,24/06/2019,Unknown_4,DEL → JAI → BOM → COK,05:30,04:25 25 Jun,22h 55m,2 stops,No info,13014
Air India,27/03/2019,Delhi,DEL → UDR → BOM → COK,13:20,07:40 28 Mar,18h 20m,2 stops,No info,10178
Jet Airways,18/05/2019,Kolkata,CCU → DEL → BLR,20:25,18:00 19 May,21h 35m,1 stop,No info,14151
Jet Airways,15/06/2019,Delhi,DEL → BDQ → BOM → COK,18:25,12:35 16 Jun,18h 10m,2 stops,No info,14237
IndiGo,27/05/2019,Delhi,DEL → BOM → COK,17:30,01:30 28 May,8h,1 stop,No info,6206
Jet Airways,21/05/2019,Delhi,DEL → BOM → COK,21:50,19:00 22 May,21h 10m,1 stop,In-flight meal not included,12898
SpiceJet,15/05/2019,Delhi,DEL → MAA → COK,06:05,11:20,5h 15m,1 stop,No info,5583
Jet Airways,9/06/2019,Unknown_4,DEL → BOM → COK,19:45,04:25 10 Jun,8h 40m,1 stop,In-flight meal not included,10577
Jet Airways,21/04/2019,Banglore,BLR → DEL,08:20,11:20,3h,non-stop,No info,7229
Jet Airways,3/04/2019,Mumbai,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678
Jet Airways,15/05/2019,Kolkata,CCU → DEL → BLR,20:25,09:45 16 May,13h 20m,1 stop,In-flight meal not included,12384
Jet Airways,9/06/2019,Kolkata,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,In-flight meal not included,10844
Air Asia,24/03/2019,Banglore,BLR → DEL,05:50,08:40,2h 50m,non-stop,No info,4284
Multiple carriers,27/05/2019,Delhi,DEL → BOM → COK,11:25,19:00,7h 35m,1 stop,No info,9103
IndiGo,15/05/2019,Kolkata,CCU → PAT → BLR,09:20,14:15,4h 55m,1 stop,No info,11319
IndiGo,6/03/2019,Delhi,DEL → BLR → COK,05:05,10:05,5h,1 stop,No info,7894
Jet Airways,27/05/2019,Delhi,DEL → BOM → COK,19:45,19:00 28 May,23h 15m,1 stop,In-flight meal not included,12898
SpiceJet,27/04/2019,Kolkata,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841
Multiple carriers,21/03/2019,Delhi,DEL → BOM → COK,18:00,01:35 22 Mar,7h 35m,1 stop,No info,7363
Jet Airways,12/06/2019,Delhi,DEL → BOM → COK,22:50,12:35 13 Jun,13h 45m,1 stop,In-flight meal not included,10262
Jet Airways,24/05/2019,Kolkata,CCU → BOM → BLR,16:30,09:20 25 May,16h 50m,1 stop,No info,14178
Multiple carriers,6/06/2019,Delhi,DEL → BOM → COK,11:25,19:00,7h 35m,1 stop,No info,10877
Jet Airways,1/04/2019,Kolkata,CCU → BOM → BLR,21:10,09:20 02 Apr,12h 10m,1 stop,No info,13364
Jet Airways,12/05/2019,Kolkata,CCU → DEL → BLR,09:35,18:00,8h 25m,1 stop,No info,14151
IndiGo,15/03/2019,Mumbai,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,3175
Jet Airways,12/06/2019,Kolkata,CCU → BOM → BLR,06:30,19:50,13h 20m,1 stop,No info,13626
Vistara,21/05/2019,Kolkata,CCU → DEL → BLR,17:00,20:20 22 May,27h 20m,1 stop,No info,9345
SpiceJet,21/06/2019,Unknown_4,MAA → CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
,01/03/2019,Banglore,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,11934
IndiGo,24/03/2019,Mumbai,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,3175
SpiceJet,24/03/2019,Chennai,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,3859
Jet Airways,6/05/2019,Kolkata,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757
SpiceJet,09/03/2019,Banglore,BLR → DEL,09:35,12:30,2h 55m,non-stop,No info,6205
SpiceJet,6/06/2019,Kolkata,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841
Jet Airways,9/06/2019,Delhi,DEL → NAG → BOM → COK,06:45,12:35 10 Jun,29h 50m,2 stops,No info,13376
,24/03/2019,Banglore,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4777
IndiGo,9/04/2019,Kolkata,CCU → BLR,15:30,18:05,2h 35m,non-stop,No info,4174
IndiGo,24/05/2019,Chennai,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,4332
Jet Airways,31-31-2025,Kolkata,CCU → BOM → BLR,08:25,12:00 02 Apr,27h 35m,1 stop,In-flight meal not included,7064
IndiGo,18/04/2019,Kolkata,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4174
Jet Airways,9/03/2019,Mumbai,BOM → HYD,19:40,21:10,1h 30m,non-stop,In-flight meal not included,4050
,31-31-2025,Kolkata,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,No info,13941
Air India,21/05/2019,Kolkata,CCU → JAI → BOM → BLR,08:20,11:10 22 May,26h 50m,2 stops,No info,11222
Jet Airways,24/03/2019,Banglore,BLR → DEL,19:55,22:35,2h 40m,non-stop,No info,7229
Air India,15/05/2019,Delhi,DEL → GOI → BOM → COK,22:00,19:15 16 May,21h 15m,2 stops,No info,11281
Multiple carriers,6/06/2019,Delhi,DEL → BOM → COK,17:45,01:30 07 Jun,7h 45m,1 stop,No info,6795
Multiple carriers,18/05/2019,Delhi,DEL → BOM → COK,10:20,19:15,8h 55m,1 stop,No info,8476
Jet Airways,21/05/2019,Banglore,BLR → DEL,18:55,22:00,3h 5m,non-stop,No info,7229
SpiceJet,27/03/2019,Chennai,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,3384
Jet Airways,9/05/2019,Delhi,DEL → AMD → BOM → COK,23:05,04:25 11 May,29h 20m,2 stops,No info,15129
Air Asia,1/06/2019,Delhi,DEL → BLR → COK,16:45,07:10 02 Jun,14h 25m,1 stop,No info,11410
IndiGo,1/03/2019,Chennai,MAA → CCU,05:15,07:35,2h 20m,non-stop,No info,7295
IndiGo,3/05/2019,Banglore,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943
GoAir,21/05/2019,Kolkata,CCU → AMD → BLR,16:40,00:15 22 May,7h 35m,1 stop,No info,8855
Jet Airways,18/05/2019,Delhi,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,13029
 Air India ,21/03/2019,Delhi,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,5704
Jet Airways,1/04/2019,Kolkata,CCU → DEL → BLR,09:35,21:05,11h 30m,1 stop,In-flight meal not included,8066
Air Asia,21/05/2019,Kolkata,CCU → DEL → BLR,22:40,10:40 22 May,12h,1 stop,No info,9719
IndiGo,31-31-2025,Delhi,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,6968
SpiceJet,6/05/2019,Kolkata,CCU → BLR,22:20,00:40 07 May,2h 20m,non-stop,No info,3873
IndiGo,01/03/2019,Unknown_4,BLR → DEL,08:30,11:30,3h,non-stop,No info,10067
SpiceJet,3/05/2019,Banglore,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3625
SpiceJet,3/03/2019,Mumbai,BOM → HYD,13:10,14:30,1h 20m,non-stop,No info,5755
 Jet Airways ,21/03/2019,Delhi,DEL → BOM → COK,22:00,18:50 22 Mar,20h 50m,1 stop,In-flight meal not included,6017
Jet Airways,31-31-2025,Kolkata,CCU → DEL → BLR,09:35,10:55 02 Apr,25h 20m,1 stop,No info,11467
Air India,9/04/2019,Delhi,DEL → HYD → BOM → COK,17:15,07:40 10 Apr,14h 25m,2 stops,No info,8052
IndiGo,12/05/2019,Kolkata,CCU → MAA → BLR,17:35,22:15,4h 40m,1 stop,No info,6669
 Jet Airways ,1/06/2019,Delhi,DEL → JAI → BOM → COK,09:40,04:25 02 Jun,18h 45m,2 stops,In-flight meal not included,10368
SpiceJet,15/06/2019,Kolkata,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841
Air Asia,27/05/2019,Kolkata,CCU → BLR,22:50,01:20 28 May,2h 30m,non-stop,No info,3807
,9/06/2019,Delhi,DEL → BOM → COK,13:00,12:35 10 Jun,23h 35m,1 stop,In-flight meal not included,10262
Multiple carriers,21/05/2019,Delhi,DEL → BOM → COK,08:30,19:00,10h 30m,1 stop,No info,9627
IndiGo,21/04/2019,Banglore,BLR → DEL,16:55,19:55,3h,non-stop,No info,4990
,3/06/2019,Delhi,DEL → BOM → COK,16:00,12:35 04 Jun,20h 35m,1 stop,No info,14714
SpiceJet,27/05/2019,Chennai,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,3597
IndiGo,9/05/2019,Kolkata,CCU → BLR,21:25,00:05 10 May,2h 40m,non-stop,No info,4804
IndiGo,15/04/2019,Kolkata,CCU → BLR,22:15,00:50 16 Apr,2h 35m,non-stop,No info,4174
,18/05/2019,Kolkata,CCU → BLR,15:30,18:05,2h 35m,non-stop,No info,4804
Multiple carriers,6/03/2019,Delhi,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,15078
Jet Airways,6/05/2019,Delhi,DEL → BOM → COK,22:50,04:25 07 May,5h 35m,1 stop,No info,15554
SpiceJet,6/04/2019,Delhi,DEL → BLR → COK,17:55,22:50,4h 55m,1 stop,No info,4957
Jet Airways,18/05/2019,Delhi,DEL → BOM → COK,02:15,19:00,16h 45m,1 stop,No info,15554
Air India,27/06/2019,Delhi,DEL → GOI → BOM → COK,22:00,19:15 28 Jun,21h 15m,2 stops,No info,10441
,6/06/2019,Kolkata,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,No info,14151
,18/05/2019,Delhi,DEL → BLR → COK,07:55,22:25,14h 30m,1 stop,No info,7452
Jet Airways,3/06/2019,Unknown_4,DEL → BOM → COK,17:30,19:00 04 Jun,25h 30m,1 stop,In-flight meal not included,10262
Air Asia,9/05/2019,Kolkata,CCU → BLR,22:50,01:20 10 May,2h 30m,non-stop,No info,3807
IndiGo,24/03/2019,Chennai,MAA → CCU,07:55,10:15,2h 20m,non-stop,No info,4326
Air India,03/03/2019,Banglore,BLR → HYD → DEL,08:15,21:25,13h 10m,1 stop,No info,6781
IndiGo,12/06/2019,Delhi,DEL → BOM → COK,17:30,01:30 13 Jun,8h,1 stop,No info,6104
Multiple carriers,3/03/2019,Delhi,DEL → BOM → COK,13:00,01:35 04 Mar,12h 35m,1 stop,No info,17493
Air Asia,21/03/2019,Delhi,DEL → BLR → COK,16:45,07:10 22 Mar,14h 25m,1 stop,No info,6151
Jet Airways,12/06/2019,Unknown_4,DEL → IDR → BOM → COK,09:35,12:35 13 Jun,27h,2 stops,No info,13292
Multiple carriers Premium economy,21/03/2019,Delhi,DEL → BOM → COK,08:55,21:00,12h 5m,1 stop,No info,9845
Multiple carriers,27/06/2019,Delhi,DEL → BOM → COK,11:30,01:30 28 Jun,14h,1 stop,No info,13377
Multiple carriers,27/06/2019,Delhi,DEL → BOM → COK,07:30,19:00,11h 30m,1 stop,No info,11789
Jet Airways,1/05/2019,Kolkata,CCU → DEL → BLR,17:00,23:35,6h 35m,1 stop,In-flight meal not included,12384
Jet Airways,6/06/2019,Banglore,BLR → DEL,17:45,20:45,3h,non-stop,No info,8016
Jet Airways,24/03/2019,Kolkata,CCU → BOM → BLR,21:10,23:25 25 Mar,26h 15m,1 stop,In-flight meal not included,10031
Jet Airways,27/06/2019,Delhi,DEL → NAG → BOM → COK,14:35,12:35 28 Jun,22h,2 stops,In-flight meal not included,10919
IndiGo,21/03/2019,Delhi,DEL → BLR → COK,02:00,07:45,5h 45m,1 stop,No info,6426
SpiceJet,18/05/2019,Kolkata,CCU → IXB → BLR,11:15,18:30,7h 15m,1 stop,No info,10944
 Vistara ,15/04/2019,Banglore,BLR → DEL,21:00,23:50,2h 50m,non-stop,No info,5403
IndiGo,6/06/2019,Mumbai,BOM → HYD,09:15,10:45,1h 30m,non-stop,No info,4049
Jet Airways,24/05/2019,Kolkata,CCU → BOM → BLR,18:55,10:05 25 May,15h 10m,1 stop,No info,13731
Air India,6/03/2019,Delhi,DEL → BOM → COK,23:00,07:40 07 Mar,8h 40m,1 stop,No info,14777
IndiGo,27/05/2019,Delhi,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No info,6314
Jet Airways,24/03/2019,Kolkata,CCU → BOM → BLR,08:25,23:25,15h,1 stop,In-flight meal not included,10031
Vistara,9/06/2019,Kolkata,CCU → DEL → BLR,07:10,10:45 10 Jun,27h 35m,1 stop,No info,9397
Jet Airways,21/05/2019,Kolkata,CCU → BOM → BLR,20:00,09:20 22 May,13h 20m,1 stop,In-flight meal not included,10844
IndiGo,9/04/2019,Kolkata,CCU → HYD → BLR,15:15,20:05,4h 50m,1 stop,No info,4268
IndiGo,6/06/2019,Delhi,DEL → HYD → COK,06:50,22:30,15h 40m,1 stop,No info,6674
IndiGo,18/03/2019,Delhi,DEL → COK,21:05,00:20 19 Mar,3h 15m,non-stop,No info,5021
Air Asia,1/04/2019,Kolkata,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,3807
,1/06/2019,Unknown_4,MAA → CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,3543
IndiGo,12/06/2019,Delhi,DEL → BLR → COK,05:10,10:05,4h 55m,1 stop,No info,6496
Air India,31-31-2025,Kolkata,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,6245
IndiGo,27/03/2019,Unknown_4,MAA → CCU,22:05,00:25 28 Mar,2h 20m,non-stop,No info,5277
Jet Airways,15/05/2019,Kolkata,CCU → BOM → BLR,08:25,23:35,15h 10m,1 stop,No info,13941
SpiceJet,24/05/2019,Mumbai,BOM → HYD,22:45,00:15 25 May,1h 30m,non-stop,No info,2017
Air India,15/03/2019,Banglore,BLR → MAA → DEL,11:50,13:00 16 Mar,25h 10m,1 stop,No info,8032
Jet Airways,1/04/2019,Kolkata,CCU → BOM → BLR,16:30,18:15 02 Apr,25h 45m,1 stop,In-flight meal not included,7064
Jet Airways,27/05/2019,Delhi,DEL → BOM → COK,19:45,04:25 28 May,8h 40m,1 stop,In-flight meal not included,12898
IndiGo,3/06/2019,Banglore,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823
IndiGo,6/06/2019,Banglore,BLR → DEL,21:15,00:15 07 Jun,3h,non-stop,No info,3943
Vistara,15/05/2019,Kolkata,CCU → DEL → BLR,20:20,22:40 16 May,26h 20m,1 stop,No info,8452
Jet Airways,24/03/2019,Kolkata,CCU → BOM → BLR,21:10,18:10 25 Mar,21h,1 stop,No info,13759
Air India,9/04/2019,Delhi,DEL → BLR → COK,20:30,08:15 10 Apr,11h 45m,1 stop,No info,5683
SpiceJet,31-31-2025,Delhi,DEL → MAA → COK,15:45,22:05,6h 20m,1 stop,No info,5583
GoAir,9/06/2019,Kolkata,CCU → AMD → BLR,16:40,00:15 10 Jun,7h 35m,1 stop,No info,9495
Vistara,24/03/2019,Banglore,BLR → DEL,16:00,18:35,2h 35m,non-stop,No info,5088
IndiGo,15/05/2019,Unknown_4,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No info,6442
Air India,12/06/2019,Delhi,DEL → BLR → COK,20:30,08:15 13 Jun,11h 45m,1 stop,No info,8991
IndiGo,9/06/2019,Delhi,DEL → BOM → COK,16:00,21:00,5h,1 stop,No info,6069
Vistara,15/06/2019,Delhi,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216
Air Asia,9/04/2019,Kolkata,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,4107
Multiple carriers,27/03/2019,Delhi,DEL → BOM → COK,15:15,01:35 28 Mar,10h 20m,1 stop,No info,6427
Jet Airways,3/03/2019,Mumbai,BOM → HYD,02:55,04:25,1h 30m,non-stop,In-flight meal not included,4050
Jet Airways,21/05/2019,Delhi,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,13029
SpiceJet,9/03/2019,Kolkata,CCU → BLR,17:15,19:45,2h 30m,non-stop,No info,4622
IndiGo,18/05/2019,Delhi,DEL → HYD → COK,16:10,22:30,6h 20m,1 stop,No info,7640
IndiGo,21/03/2019,Mumbai,BOM → HYD,19:05,20:30,1h 25m,non-stop,No info,2754
,12/06/2019,Delhi,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,8372
IndiGo,31-31-2025,Kolkata,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4804
Jet Airways,21/05/2019,Delhi,DEL → BOM → COK,20:55,19:00 22 May,22h 5m,1 stop,No info,16079
,21/05/2019,Mumbai,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995
,21/03/2019,Delhi,DEL → BOM → COK,09:10,15:30,6h 20m,1 stop,No info,9709
Jet Airways,31-31-2025,Mumbai,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678
Jet Airways,21/05/2019,Delhi,DEL → IDR → BOM → COK,09:35,12:35 22 May,27h,2 stops,No info,13559
Jet Airways,9/05/2019,Unknown_4,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373
Vistara,1/05/2019,Kolkata,CCU → DEL → BLR,07:10,22:40,15h 30m,1 stop,No info,8452
Air Asia,24/06/2019,Delhi,DEL → BLR → COK,16:45,06:35 25 Jun,13h 50m,1 stop,No info,6752
Jet Airways,21/05/2019,Kolkata,CCU → DEL → BLR,09:35,22:05,12h 30m,1 stop,No info,13067
SpiceJet,18/05/2019,Mumbai,BOM → HYD,22:45,00:15 19 May,1h 30m,non-stop,No check-in baggage included,1965
Jet Airways,21/03/2019,Banglore,BLR → BOM → DEL,08:00,20:20,12h 20m,1 stop,In-flight meal not included,7832
Vistara,31-31-2025,Unknown_4,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687
Air India,6/06/2019,Delhi,DEL → CCU → BOM → COK,14:25,19:15 07 Jun,28h 50m,2 stops,No info,13591
Air India,31-31-2025,Delhi,DEL → BLR → COK,17:40,08:15 13 Jun,14h 35m,1 stop,No info,8991
IndiGo,24/03/2019,Banglore,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,4238
SpiceJet,24/05/2019,Kolkata,CCU → BLR,22:20,00:40 25 May,2h 20m,non-stop,No check-in baggage included,3841
GoAir,27/05/2019,Delhi,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,5752
IndiGo,21/03/2019,Chennai,MAA → CCU,05:15,07:35,2h 20m,non-stop,No info,4326
Air India,21/03/2019,Delhi,DEL → MAA → COK,17:20,09:25 22 Mar,16h 5m,1 stop,No info,6482
 Jet Airways ,18/05/2019,Delhi,DEL → AMD → BOM → COK,23:05,04:25 20 May,29h 20m,2 stops,No info,16704
Jet Airways,9/03/2019,Delhi,DEL → ATQ → BOM → COK,20:10,04:25 10 Mar,8h 15m,2 stops,No info,20904
,21/06/2019,Chennai,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,3858
,24/03/2019,Banglore,BLR → DEL,22:20,01:10 22 Mar,2h 50m,non-stop,No info,3897
Jet Airways,21/05/2019,Kolkata,CCU → BOM → BLR,20:00,16:20 22 May,20h 20m,1 stop,In-flight meal not included,10844
Air India,12/05/2019,Kolkata,CCU → BBI → BOM → BLR,12:00,21:50,9h 50m,2 stops,No info,10676
IndiGo,21/03/2019,Delhi,DEL → AMD → COK,07:45,13:40,5h 55m,1 stop,No info,6101
IndiGo,21/06/2019,Delhi,DEL → COK,14:25,17:40,3h 15m,non-stop,No info,5000
IndiGo,12/06/2019,Chennai,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597
IndiGo,3/06/2019,Banglore,BLR → DEL,00:25,03:15,2h 50m,non-stop,No info,3943
Jet Airways,1/04/2019,Kolkata,CCU → BOM → BLR,20:00,23:35 02 Apr,27h 35m,1 stop,No info,12681
IndiGo,24/03/2019,Kolkata,CCU → BBI → BLR,11:55,16:25,4h 30m,1 stop,No info,9806
Jet Airways,15/06/2019,Banglore,BLR → DEL,08:20,11:20,3h,non-stop,No info,8016
Jet Airways,24/03/2019,Kolkata,CCU → BOM → BLR,06:30,04:45 25 Mar,22h 15m,1 stop,In-flight meal not included,10031
Air India,6/03/2019,Delhi,DEL → BOM → COK,07:00,19:15,12h 15m,1 stop,No info,15809
IndiGo,21/03/2019,Banglore,BLR → AMD → DEL,14:25,19:25,5h,1 stop,No info,7708
Jet Airways,9/05/2019,Kolkata,CCU → BOM → BLR,08:25,04:40 10 May,20h 15m,1 stop,No info,13941
Multiple carriers,21/03/2019,Delhi,DEL → HYD → MAA → COK,07:05,21:20,14h 15m,2 stops,No info,6653
Jet Airways,12/03/2019,Banglore,BLR → BOM → DEL,16:55,10:45 13 Mar,17h 50m,1 stop,No info,13817
